time,hastus tr 14,loop car 102,loop car 108,loop car 153,loop tr 14
1900-01-01 05:55:00.000,2098000,,,,
1900-01-01 05:55:37.000,,,,,2238000
1900-01-01 05:55:39.000,,,2238000,,2238000
1900-01-01 05:55:41.000,,2238000,2238000,,2238000
1900-01-01 05:55:42.000,,2238000,2238000,,2238000
1900-01-01 05:55:54.000,,,,,2258000
1900-01-01 05:55:56.000,,,2258000,,2258000
1900-01-01 05:55:58.000,,2258000,2258000,,2258000
1900-01-01 05:56:00.000,,2258000,2258000,,2258000
1900-01-01 05:56:03.000,,,,,2270000
1900-01-01 05:56:06.000,,,2270000,,2270000
1900-01-01 05:56:10.000,,2270000,2270000,,2270000
1900-01-01 05:56:19.000,,,,,2270000
1900-01-01 05:56:20.000,,2270000,2270000,,2270000
1900-01-01 05:56:55.000,,,2270000,,2270000
1900-01-01 05:56:56.000,,,,,2270000
1900-01-01 05:57:00.000,2218000,,,,
1900-01-01 05:57:02.000,,,2270000,,2270000
1900-01-01 05:57:03.000,,2270000,2270000,,2270000
1900-01-01 05:57:07.000,,2270000,2270000,,2270000
1900-01-01 05:57:11.000,,2270000,2270000,,2270000
1900-01-01 05:59:00.000,2338000,,,,
1900-01-01 06:05:30.000,,,,,2818000
1900-01-01 06:05:33.000,,,2818000,,2818000
1900-01-01 06:05:35.000,,2818000,2818000,,2818000
1900-01-01 06:05:37.000,,,2818000,,2818000
1900-01-01 06:05:38.000,,2818000,2818000,,2818000
1900-01-01 06:05:39.000,,2818000,2818000,,2818000
1900-01-01 06:05:41.000,,2818000,2818000,,2818000
1900-01-01 06:06:00.000,2758000,,,,
1900-01-01 06:08:00.000,2943893,,,,
1900-01-01 06:11:26.000,,,,,3240000
1900-01-01 06:11:34.000,,,,,3240000
1900-01-01 06:11:40.000,,,3240000,,3240000
1900-01-01 06:11:42.000,,3240000,,,3240000
1900-01-01 06:11:55.000,,3240000,3240000,3240000,3240000
1900-01-01 06:12:00.000,3244108,,,,
1900-01-01 06:20:07.000,,,,,3240000
1900-01-01 06:25:08.000,,,,,3240000
1900-01-01 06:27:00.000,3244108,,,,
1900-01-01 06:27:04.000,,,,3240000,3240000
1900-01-01 06:27:08.000,,3240000,,3240000,3240000
1900-01-01 06:27:11.000,,3240000,,3240000,3240000
1900-01-01 06:31:00.000,2943893,,,,
1900-01-01 06:32:19.000,,,,,2800000
1900-01-01 06:32:23.000,,,,2800000,2800000
1900-01-01 06:32:32.000,,2800000,,2800000,2800000
1900-01-01 06:32:37.000,,2800000,,2800000,2800000
1900-01-01 06:33:00.000,2758000,,,,
1900-01-01 06:40:00.000,2338000,,,,
1900-01-01 06:42:00.000,2218000,,,,
1900-01-01 06:42:05.000,,,,,2238000
1900-01-01 06:42:09.000,,,,2238000,2238000
1900-01-01 06:42:13.000,,2238000,,2238000,2238000
1900-01-01 06:42:20.000,,2238000,,2238000,2238000
1900-01-01 06:42:21.000,,,,,2238000
1900-01-01 06:42:47.000,,,,2238000,2238000
1900-01-01 06:42:50.000,,,,2238000,2238000
1900-01-01 06:42:52.000,,2238000,,2238000,2238000
1900-01-01 06:42:53.000,,2238000,,2238000,2238000
1900-01-01 06:42:55.000,,2238000,,2238000,2238000
1900-01-01 06:43:04.000,,,,,2144000
1900-01-01 06:43:05.000,,,,2144000,2144000
1900-01-01 06:43:07.000,,2144000,,2144000,2144000
1900-01-01 06:43:09.000,,2144000,,2144000,2144000
